1292153962;Artificial Intelligence - A Modern Approach, Global Edition;Stuart Russell, Peter Norvig;;http://books.google.com/books/content?id=XS9CjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;2016-05-05;en
0985930802;The Nature of Code;Daniel Shiffman;Nature of Code;http://books.google.com/books/content?id=hoK6lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computer programming;2012;en
9781408179512;In Data We Trust - How Customer Data is Revolutionising Our Economy;Bjorn Bloching, Lars Luck, Thomas Ramge;A&amp;C Black;http://books.google.com/books/content?id=OYxwxORDp8IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Business & Economics;2012-08-02;en
9781430219484;Coders at Work - Reflections on the Craft of Programming;Peter Seibel;Apress;http://books.google.com/books/content?id=nneBa6-mWfgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2009-09-16;en
9781430224785;Practical Arduino - Cool Projects for Open Source Hardware;Jonathan Oxer, Hugh Blemings;Apress;http://books.google.com/books/content?id=CKWZiGoY8O4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2011-01-26;en
1534822666;ESP8266: Programming NodeMCU Using Arduino IDE - Get Started with ESP8266 - (Internet of Things, IOT, Projects in Internet of Things, Internet of Things for Beginners, NodeMCU Programming, ESP8266);Upskill Learning;;http://books.google.com/books/content?id=XUOrDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;;2016-06-22;en
9781783982950;Arduino Development Cookbook;Cornel Amariei;Packt Publishing Ltd;http://books.google.com/books/content?id=_IWHCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2015-04-23;en
9780133153200;Augmented Reality - Principles and Practice;Dieter Schmalstieg, Tobias Hollerer;Addison-Wesley Professional;http://books.google.com/books/content?id=qPU2DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-06-01;en
9783319074641;Virtual, Augmented and Mixed Reality: Applications of Virtual and Augmented Reality - 6th International Conference, VAMR 2014, Held as Part of HCI International 2014, Heraklion, Crete, Greece, June 22-27, 2014, Proceedings;Randall Shumaker, Lackey Stephanie;Springer;http://books.google.com/books/content?id=xBe6BQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2014-06-06;en
9780262528511;Metadata;Jeffrey Pomerantz;MIT Press;http://books.google.com/books/content?id=j0X7CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Business & Economics;2015-11-06;en
3486716212;Mensch-Maschine-Interaktion;Andreas Butz, Antonio Krüger;Walter de Gruyter;http://books.google.com/books/content?id=PuQyLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2014;de
UOM:49015002361070;Designing Visual Interfaces - Communication Oriented Techniques;Kevin Mullet;Prentice Hall;http://books.google.com/books/content?id=LCYPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;1995;en
9780134094359;Practical Augmented Reality - A Guide to the Technologies, Applications, and Human Factors for AR and VR;Steve Aukstakalnis;Addison-Wesley Professional;http://books.google.com/books/content?id=4oz_DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-09-08;en
9781449331498;Head First Design Patterns - A Brain-Friendly Guide;Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=NXIrAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2004-10-25;en
9781593276034;Python Crash Course - A Hands-On, Project-Based Introduction to Programming;Eric Matthes;No Starch Press;http://books.google.com/books/content?id=RXoZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2015-11-20;en
0321670221;Continuous Delivery - Reliable Software Releases through Build, Test, and Deployment Automation (Adobe Reader);Jez Humble, David Farley;Pearson Education;http://books.google.com/books/content?id=6ADDuzere-YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2010-07-27;en
;Deep Learning with Python, Francois Chollet, 2018 - Python;manning Publications, Co;Bukupedia ;http://books.google.com/books/content?id=dadfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-03-15;en
9781491951187;Site Reliability Engineering - How Google Runs Production Systems;Betsy Beyer, Chris Jones, Jennifer Petoff, Niall Richard Murphy;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=_4rPCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-03-23;en
9780133491784;From Mathematics to Generic Programming;Alexander A. Stepanov, Daniel E. Rose;Addison-Wesley Professional;http://books.google.com/books/content?id=UqxYBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2014-11-13;en
9780262038034;The Deep Learning Revolution;Terrence J. Sejnowski;MIT Press;http://books.google.com/books/content?id=9xZxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2018-10-23;en
UOM:39015053238088;Subject Guide to Books in Print;;;http://books.google.com/books/content?id=vLZWAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;American literature;1984;en
UOM:39015053238088;Subject Guide to Books in Print;;;http://books.google.com/books/content?id=vLZWAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;American literature;1984;en
